,"FY2022 Per Diem Rates - Effective October 1, 2021",,,,,,
ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY22 Lodging Rate,FY22 M&IE
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$ 96,$ 59
1,AL,Birmingham,Jefferson,,,$ 113,$ 69
2,AL,Gulf Shores,Baldwin,October 1,February 28,$ 111,$ 69
2,AL,Gulf Shores,Baldwin,March 1,May 31,$ 136,$ 69
2,AL,Gulf Shores,Baldwin,June 1,July 31,$ 173,$ 69
2,AL,Gulf Shores,Baldwin,August 1,September 30,$ 111,$ 69
460,AL,Mobile,Mobile,October 1,December 31,$ 96,$ 59
460,AL,Mobile,Mobile,January 1,March 31,$ 105,$ 59
460,AL,Mobile,Mobile,April 1,September 30,$ 96,$ 59
6,AR,Hot Springs,Garland,,,$ 103,$ 64
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$ 138,$ 74
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,$ 96,$ 74
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,April 30,$ 118,$ 74
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,May 1,September 30,$ 138,$ 74
8,AZ,Kayenta,Navajo,October 1,October 31,$ 134,$ 64
8,AZ,Kayenta,Navajo,November 1,February 28,$ 102,$ 64
8,AZ,Kayenta,Navajo,March 1,September 30,$ 134,$ 64
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,May 31,$ 151,$ 69
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$ 96,$ 69
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$ 151,$ 69
11,AZ,Sedona,City Limits of Sedona,October 1,December 31,$ 180,$ 79
11,AZ,Sedona,City Limits of Sedona,January 1,February 28,$ 146,$ 79
11,AZ,Sedona,City Limits of Sedona,March 1,April 30,$ 220,$ 79
11,AZ,Sedona,City Limits of Sedona,May 1,August 31,$ 154,$ 79
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,$ 180,$ 79
12,AZ,Tucson,Pima,October 1,December 31,$ 96,$ 64
12,AZ,Tucson,Pima,January 1,March 31,$ 133,$ 64
12,AZ,Tucson,Pima,April 1,September 30,$ 96,$ 64
14,CA,Antioch / Brentwood / Concord,Contra Costa,,,$ 165,$ 74
481,CA,Bakersfield / Ridgecrest,Kern,,,$ 116,$ 64
16,CA,Barstow / Ontario / Victorville,San Bernardino,,,$ 111,$ 64
20,CA,Death Valley,Inyo / NAWS China Lake,October 1,October 31,$ 130,$ 69
20,CA,Death Valley,Inyo / NAWS China Lake,November 1,January 31,$ 109,$ 69
20,CA,Death Valley,Inyo / NAWS China Lake,February 1,September 30,$ 130,$ 69
461,CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,May 31,$ 101,$ 69
461,CA,Eureka / Arcata / McKinleyville,Humboldt,June 1,August 31,$ 129,$ 69
461,CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,$ 101,$ 69
21,CA,Fresno,Fresno,,,$ 110,$ 69
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,October 1,October 31,$ 182,$ 74
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,November 1,December 31,$ 168,$ 74
22,CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,January 1,September 30,$ 182,$ 74
23,CA,Mammoth Lakes,Mono,October 1,November 30,$ 126,$ 79
23,CA,Mammoth Lakes,Mono,December 1,April 30,$ 148,$ 79
23,CA,Mammoth Lakes,Mono,May 1,September 30,$ 126,$ 79
24,CA,Mill Valley / San Rafael / Novato,Marin,October 1,October 31,$ 189,$ 74
